"","Ironclad","Silent","Defect","Watcher","Rotating"
"Overall",0.125,0.163934426229508,0.175438596491228,0.444444444444444,0.173652694610778
"Last50",0.125,0.2,0.16,0.444444444444444,0.22
"Last25",0.08,0.32,0.24,0.444444444444444,0.24
