"","Ironclad","Silent","Defect","Watcher","Rotating"
"Overall",0.162790697674419,0.161290322580645,0.175438596491228,0.428571428571429,0.1875
"Last50",0.162790697674419,0.2,0.16,0.428571428571429,0.28
"Last25",0.16,0.28,0.24,0.428571428571429,0.36
