"","Ironclad","Silent","Defect","Watcher","Rotating"
"Overall",0.212765957446809,0.17910447761194,0.19672131147541,0.4375,0.214659685863874
"Last50",0.212765957446809,0.24,0.18,0.4375,0.36
"Last25",0.28,0.32,0.28,0.4375,0.48
