"","Ironclad","Silent","Defect","Watcher","Rotating"
"Overall",0.2,0.169230769230769,0.203389830508475,0.466666666666667,0.21195652173913
"Last50",0.2,0.22,0.2,0.466666666666667,0.34
"Last25",0.24,0.32,0.32,0.466666666666667,0.44
