"","Ironclad","Silent","Defect","Watcher","Rotating"
"Overall",0.181818181818182,0.171875,0.189655172413793,0.466666666666667,0.204419889502762
"Last50",0.181818181818182,0.22,0.18,0.466666666666667,0.3
"Last25",0.2,0.32,0.28,0.466666666666667,0.36
