"","Ironclad","Silent","Defect","Watcher","Rotating"
"Overall",0.2,0.169230769230769,0.2,0.4375,0.209677419354839
"Last50",0.2,0.22,0.2,0.4375,0.34
"Last25",0.24,0.32,0.28,0.4375,0.44
