"","Ironclad","Silent","Defect","Watcher","Rotating"
"Overall",0.181818181818182,0.158730158730159,0.175438596491228,0.428571428571429,0.191011235955056
"Last50",0.181818181818182,0.2,0.16,0.428571428571429,0.26
"Last25",0.2,0.28,0.24,0.428571428571429,0.32
